# time	Ne
8.630990265825160258e-09	1.703125803001723290e+20
8.717878309527704486e-09	1.689341631821179126e+20
9.269384192317341883e-09	1.607172134544684155e+20
9.820890075106979280e-09	1.533171673682963661e+20
9.958766545804388629e-09	1.515806859173613076e+20
1.009664301650179798e-08	1.498864937896884961e+20
1.023451948719920733e-08	1.482330372044992348e+20
1.037239595789661668e-08	1.466188805008414638e+20
1.044739118177015672e-08	1.457568834227636470e+20
1.052238640564369676e-08	1.449058949156855808e+20
1.059738162951723680e-08	1.440657075923017728e+20
1.067194857524437490e-08	1.432408272273837588e+20
1.074651552097151300e-08	1.424262311506103009e+20
1.082108246669865111e-08	1.416217301847083581e+20
1.097399079018476741e-08	1.400027111089383014e+20
1.112689911367088371e-08	1.384238443964877046e+20
1.127980743715700001e-08	1.368836695710112973e+20
1.212292488590555504e-08	1.290309014119442350e+20
1.233370424809269421e-08	1.272198355218944492e+20
1.254448361027983338e-08	1.254645696095531336e+20
1.296604233465411007e-08	1.221115054271389860e+20
1.338760105902838676e-08	1.189532359621455217e+20
1.380915978340266345e-08	1.159733134346788045e+20
1.423071850777694014e-08	1.131571320370541363e+20
1.495713609342214883e-08	1.086527297359673917e+20
1.568355367906735587e-08	1.045394798620082995e+20
1.640997126471256621e-08	1.007685600178135204e+20
1.713638885035777655e-08	9.729920903571169280e+19
1.810760040496604573e-08	9.307204425562018611e+19
1.907881195957431492e-08	8.925255618378480026e+19
2.005002351418258410e-08	8.578715083717179802e+19
2.102123506879085328e-08	8.263091898249386394e+19
2.199244662339912246e-08	7.974483731207267942e+19
2.325340461290036119e-08	7.634686515655545651e+19
2.451436260240159992e-08	7.328905507599369830e+19
2.577532059190283864e-08	7.052371547116341658e+19
2.703627858140407737e-08	6.801188261016653824e+19
2.829723657090531610e-08	6.572103858828253594e+19
2.989607021538723133e-08	6.309142744723835290e+19
3.149490385986914656e-08	6.072720374452745830e+19
3.309373750435106178e-08	5.859110964661097267e+19
3.469257114883297701e-08	5.665248657508469146e+19
3.629140479331489224e-08	5.488581693698099610e+19
3.812705966957848948e-08	5.304206724574549606e+19
3.996271454584208673e-08	5.137019446910805606e+19
4.179836942210568397e-08	4.984775161845199667e+19
4.363402429836928121e-08	4.845584504176399155e+19
4.546967917463287846e-08	4.717874359332061184e+19
4.730533405089647570e-08	4.600327418104474010e+19
4.968653471636882145e-08	4.461161626530605466e+19
5.206773538184116719e-08	4.335125780252676096e+19
5.444893604731351293e-08	4.220477735635791872e+19
5.683013671278585868e-08	4.115768997516865536e+19
5.921133737825820442e-08	4.019790115232546816e+19
6.159253804373055678e-08	3.931517001798791987e+19
6.507302504397504006e-08	3.814571431713251328e+19
6.855351204421952334e-08	3.709960293826936832e+19
7.203399904446400662e-08	3.615832245167689728e+19
7.551448604470848990e-08	3.530685256846700544e+19
7.899497304495297317e-08	3.453288837828291789e+19
8.247546004519745645e-08	3.382618784395791565e+19
8.689909712829426770e-08	3.301169263386836582e+19
9.132273421139107894e-08	3.227743615463736115e+19
9.574637129448789019e-08	3.161150397672839168e+19
1.001700083775847014e-07	3.100416844821283226e+19
1.045936454606815127e-07	3.044740445123406234e+19
1.054043590961741464e-07	3.035029994418698240e+19
1.062150727316667802e-07	3.025462799225146163e+19
1.070257863671594140e-07	3.016035305154368717e+19
